app = Code
goal = click Makefile
expect = none
--
AXButton | Go Back (⌃-) | 454 52 | 22 22
AXButton | Go Forward (⌃⇧-) | 480 52 | 22 22
AXButton | Open Quick Access | 757 52 | 522 22
AXButton | Toggle Chat | 1034 52 | 34 22
AXButton | Toggle Chat | 1034 52 | 23 22
AXPopUpButton | More Actions | 1058 52 | 17 22
AXButton | Open in Agents Window (⇧⌥⌘A) | 1092 52 | 25 22
AXButton | Customize Layout... | 1411 52 | 22 22
AXCheckBox | Toggle Primary Side Bar (⌘B) | 1437 52 | 22 22
AXCheckBox | Toggle Panel (⌘J) | 1463 52 | 22 22
AXCheckBox | Toggle Secondary Side Bar (⌥⌘B) | 1489 52 | 22 22
AXRadioButton | Explorer (⇧⌘E) | 26 90 | 36 36
AXRadioButton | Search (⇧⌘F) | 26 134 | 36 36
AXRadioButton | Source Control (⌃⇧G) - 8 pending changes | 26 178 | 36 36
AXRadioButton | Run and Debug (⇧⌘D) | 26 222 | 36 36
AXRadioButton | GitHub | 26 266 | 36 36
AXRadioButton | Extensions (⇧⌘X) | 26 310 | 36 36
AXRadioButton | Makefile | 26 354 | 36 36
AXRadioButton | Claude Code | 26 398 | 36 36
AXRadioButton | Containers | 26 442 | 36 36
AXRadioButton | GitHub Actions | 26 486 | 36 36
AXRadioButton | Gemini Code Assist (⌥⌘G) | 26 530 | 36 36
AXRadioButton | Python | 26 574 | 36 36
AXPopUpButton | Accounts | 26 884 | 36 36
AXPopUpButton | Manage | 26 928 | 36 36
AXPopUpButton | Views and More Actions... | 332 85 | 22 22
AXButton | Explorer Section: nudge | 198 115 | 289 28
AXRow | .claude | 198 140 | 289 22
AXRow | .nudge-backups | 198 162 | 289 22
AXRow | bench | 198 184 | 289 22
AXRow | clicky | 198 206 | 289 22
AXRow | opencode | 198 228 | 289 22
AXRow | picks | 198 250 | 289 22
AXRow | src-tauri | 198 272 | 289 22
AXRow | truth | 198 294 | 289 22
AXRow | ui | 198 316 | 289 22
AXRow | .env | 198 338 | 289 22
AXRow | .gitignore | 198 360 | 289 22
AXRow | .signing-identity | 198 382 | 289 22
AXRow | 15993-30090-chatbot.riv | 198 404 | 289 22
AXRow | config.example.toml | 198 426 | 289 22
AXRow | FINDINGS.md | 198 448 | 289 22
AXRow | Makefile | 198 470 | 289 22
AXRow | PLAN.md | 198 492 | 289 22
AXRow | PORTING.md | 198 514 | 289 22
AXRow | project_idea.md | 198 536 | 289 22
AXRow | README.md | 198 558 | 289 22
AXRow | results.md | 198 580 | 289 22
AXRow | SPEED.md | 198 602 | 289 22
AXRow | temp.md | 198 624 | 289 22
AXButton | Open Editors Section | 198 852 | 289 28
AXButton | Close Editor (⌘W) | 71 877 | 20 20
AXButton | Outline Section | 198 902 | 289 28
AXButton | Timeline Section | 198 930 | 289 28
AXRadioButton | PLAN.md, preview | 412 85 | 114 32
AXButton | Close (⌘W) | 455 85 | 20 20
AXButton | Claude Code: Open in Terminal | 1414 85 | 22 22
AXButton | Reopen as source file | 1440 85 | 22 22
AXButton | Split Editor Right (⌘\) [⌥] Split Editor Down | 1466 85 | 22 22
AXPopUpButton | More Actions... | 1492 85 | 22 22
AXButton | Markdown Preview  | 1444 112 | 125 22
AXRadioButton | Problems (⇧⌘M) | 394 569 | 77 32
AXRadioButton | Debug Console (⇧⌘Y) | 488 569 | 113 32
AXRadioButton | Ports | 571 569 | 52 32
AXRadioButton | Terminal (⌃`) | 633 569 | 72 32
AXButton | Focus Terminal (⌘↓) [⌥] Split Terminal (⌘\) | 1239 570 | 172 25
AXButton | New Terminal (⌃⇧`) [⌥] Split Terminal (⌘\) | 1340 569 | 22 22
AXButton | New Terminal (⌃⇧`) [⌥] Split Terminal (⌘\) | 1340 569 | 22 22
AXPopUpButton | Launch Profile... | 1356 569 | 16 22
AXButton | Split Terminal (⌘\) | 1379 569 | 22 22
AXButton | Kill Terminal | 1405 569 | 22 22
AXPopUpButton | Views and More Actions... | 1431 569 | 22 22
AXCheckBox | Maximize Panel | 1466 569 | 22 22
AXButton | Hide Panel (⌘J) | 1492 569 | 22 22
AXTextField | Terminal 1, ◐ autonomous-agent-tasks Use ⌥F1 for terminal accessibility help | 390 888 | 7 14
AXButton | remote | 23 968 | 26 24
AXButton | nudge (Git) | 72 968 | 61 24
AXButton | nudge (Git) - alpha*, Checkout Branch/Tag... | 133 968 | 62 24
AXButton | nudge (Git) - Push 35 commits to origin/alpha | 199 968 | 70 24
AXButton | Show the GitLens Commit Graph | 255 968 | 26 24
AXButton | rocket bibektimilsina00/khareedlow_flutter#1 needs reviewers, GitLens Launchpad  | 445 968 | 342 24
AXButton | No Problems | 655 968 | 68 24
AXButton | Notifications | 1490 968 | 28 24
AXButton | material-spark-off, Gemini Code Assist: Please log in to continue | 1460 968 | 32 24
AXButton | gitlens-gitlens, **GitLens Pro — reactivate your Pro trial** Experience full acc | 1428 968 | 26 24
AXButton | broadcast Go Live, Click to run live server | 1373 968 | 72 24
AXButton | Copilot status | 1318 968 | 27 24
AXButton | Screen Reader Optimized | 1222 968 | 161 24
AXRow | What is unknown | 930 -1401 | 1050 34
AXCell | What is unknown | 1027 -1401 | 856 34
AXRow | Multi-monitor The arithmetic is tested including negative origins. Whether one w | 930 -1356 | 1050 57
AXCell | Multi-monitor | 502 -1356 | 195 57
AXCell | The arithmetic is tested including negative origins. Whether one window really s | 1027 -1356 | 856 57
AXRow | Orchestrating another agent claude , codex and | 930 -1301 | 1050 56
AXCell | Orchestrating another agent | 502 -1301 | 195 56
AXCell | claude , codex and | 1027 -1301 | 856 56
AXRow | The panel flicker fix Two plausible causes addressed. Neither verifiable without | 930 -1256 | 1050 34
AXCell | The panel flicker fix | 502 -1256 | 195 34
AXCell | Two plausible causes addressed. Neither verifiable without watching a Space tran | 1027 -1256 | 856 34
AXRow | The Windows port The seam is drawn, the portable side is written and runs on mac | 930 -1212 | 1050 56
AXCell | The Windows port | 502 -1212 | 195 56
AXCell | The seam is drawn, the portable side is written and runs on macOS behind a featu | 1027 -1212 | 856 56
AXCell | Multi-monitor | 502 -1356 | 195 57
AXCell | Orchestrating another agent | 502 -1301 | 195 56
AXCell | The panel flicker fix | 502 -1256 | 195 34
AXCell | The Windows port | 502 -1212 | 195 56
AXCell | What is unknown | 1027 -1401 | 856 34
AXCell | The arithmetic is tested including negative origins. Whether one window really s | 1027 -1356 | 856 57
AXCell | claude , codex and | 1027 -1301 | 856 56
AXCell | Two plausible causes addressed. Neither verifiable without watching a Space tran | 1027 -1256 | 856 34
